//:csv
*skybox,sky-w1-sunset;
*sound,bgmz;
w1/block2,16,56=110
w1/block2,18,56=111
w1/block2,20,56=112
w1/block2,22,56=113
w1/block2,24,56=114
w1/block2,26,56=115
w1/block2,28,56=116
w1/block2,30,56=117
w1/block2,32,56=118
w1/block2,34,56=119
w1/block2,36,56=120
w1/block2,38,56=121
w1/block2,40,56=122
w1/block2,42,56=123
w1/block2,44,56=124
w1/block2,46,56=125
w1/block2,48,56=126
w1/block2,50,56=127
w1/block2,52,56=128
w1/block2,54,56=129
w1/block2,56,56=130
w1/block2,58,56=131
w1/block2,60,56=132
w1/block2,62,56=133
w1/block2,64,56=134
w1/block2,66,56=135
w1/block2,68,56=136
w1/block2,70,56=137
w1/block2,-36,54=138
w1/block2,-30,54=139
hashigo,-28,54=140
w1/block2,-22,54=141
w1/block2,-16,54=142
hashigo,-14,54=143
w1/block2,-10,54=144
hashigo,-8,54=145
coin/coin1,-2,54=146
coin/coin1,0,54=147
coin/coin1,2,54=148
coin/coin1,4,54=149
coin/coin1,6,54=150
coin/coin1,34,54=151
coin/coin1,36,54=152
coin/coin1,38,54=153
coin/coin3,60,54=154
coin/coin3,62,54=155
coin/coin3,64,54=156
coin/coin3,66,54=157
w1/block2,70,54=158
w1/block2,-36,52=159
w1/block2,-30,52=160
hashigo,-28,52=161
coin/coin3,-26,52=162
w1/block2,-22,52=163
w1/block2,-16,52=164
hashigo,-14,52=165
w1/block2,-10,52=166
hashigo,-8,52=167
coin/coin1,14,52=168
coin/coin1,18,52=169
coin/coin1,22,52=170
coin/coin1,26,52=171
coin/coin1,30,52=172
w1/block2,70,52=173
w1/block2,-36,50=174
w1/block2,-30,50=175
hashigo,-28,50=176
w1/block2,-22,50=177
w1/block2,-16,50=178
hashigo,-14,50=179
w1/block2,-10,50=180
hashigo,-8,50=181
coin/coin1,14,50=182
coin/coin1,18,50=183
coin/coin1,22,50=184
coin/coin1,26,50=185
coin/coin1,30,50=186
w1/block2,32,50=187
w1/block2,34,50=188
w1/block2,36,50=189
w1/block2,38,50=190
w1/block2,40,50=191
w1/block2,42,50=192
w1/block2,44,50=193
w1/block2,46,50=194
w1/block2,48,50=195
w1/block2,50,50=196
w1/block2,52,50=197
w1/block2,54,50=198
w1/block2,56,50=199
w1/block2,58,50=200
w1/block2,60,50=201
w1/block2,62,50=202
w1/block2,70,50=203
w1/block2,-36,48=204
w1/block2,-30,48=205
hashigo,-28,48=206
coin/coin3,-26,48=207
w1/block2,-22,48=208
w1/block2,-16,48=209
hashigo,-14,48=210
w1/block2,-10,48=211
hashigo,-8,48=212
w1/block2,-4,48=213
w1/block2,-2,48=214
w1/block2,0,48=215
w1/block2,2,48=216
w1/block2,4,48=217
w1/block2,6,48=218
w1/block2,8,48=219
w1/block2,10,48=220
coin/coin2,12,48=221
coin/coin3,14,48=222
coin/coin2,16,48=223
coin/coin3,18,48=224
coin/coin2,20,48=225
coin/coin3,22,48=226
coin/coin2,24,48=227
coin/coin3,26,48=228
coin/coin2,28,48=229
coin/coin3,30,48=230
w1/block2,32,48=231
coin/coin2,44,48=232
coin/coin2,46,48=233
coin/coin2,48,48=234
coin/coin2,50,48=235
w1/block2,62,48=236
w1/block2,70,48=237
w1/block2,-36,46=238
w1/block2,-34,46=239
w1/block2,-32,46=240
w1/block2,-30,46=241
hashigo,-28,46=242
w1/block2,-22,46=243
w1/block2,-16,46=244
hashigo,-14,46=245
w1/block2,-10,46=246
hashigo,-8,46=247
w1/block2,-4,46=248
hashigo,-2,46=249
coin/coin1,2,46=250
coin/coin1,4,46=251
coin/coin1,6,46=252
w1/block2,10,46=253
w1/block2,32,46=254
w1/block2,62,46=255
w1/block2,70,46=256
w1/block2,-36,44=257
hashigo,-34,44=258
coin/coin1,-32,44=259
hashigo,-28,44=260
coin/coin3,-26,44=261
w1/block2,-22,44=262
w1/block2,-16,44=263
hashigo,-14,44=264
w1/block2,-10,44=265
hashigo,-8,44=266
w1/block2,-4,44=267
hashigo,-2,44=268
w1/block2,10,44=269
w1/block2,12,44=270
w1/block2,14,44=271
w1/block2,16,44=272
w1/block2,18,44=273
w1/block2,20,44=274
w1/block2,22,44=275
w1/block2,24,44=276
w1/block2,26,44=277
w1/block2,28,44=278
w1/block2,30,44=279
w1/block2,32,44=280
bridge1,34,44=281
w1/block2,38,44=282
w1/block2,40,44=283
w1/block2,42,44=284
w1/block2,44,44=285
w1/block2,46,44=286
w1/block2,48,44=287
w1/block2,50,44=288
w1/block2,52,44=289
w1/block2,54,44=290
w1/block2,56,44=291
bridge1,58,44=292
bridge1,60,44=293
w1/block2,62,44=294
w1/block2,70,44=295
w1/block2,-36,42=296
hashigo,-34,42=297
coin/coin1,-32,42=298
hashigo,-28,42=299
w1/block2,-22,42=300
w1/block2,-16,42=301
hashigo,-14,42=302
w1/block2,-10,42=303
hashigo,-8,42=304
w1/block2,-4,42=305
hashigo,-2,42=306
coin/coin1,0,42=307
w1/block2,2,42=308
coin/coin2,12,42=309
coin/coin2,14,42=310
w1/block2,16,42=311
coin/coin1,22,42=312
coin/coin1,24,42=313
coin/coin1,26,42=314
coin/coin1,28,42=315
coin/coin1,30,42=316
coin/coin1,42,42=317
coin/coin1,44,42=318
coin/coin1,46,42=319
coin/coin1,48,42=320
coin/coin1,50,42=321
w1/block2,56,42=322
hashigo,60,42=323
w1/block2,62,42=324
w1/block2,70,42=325
w1/block2,-36,40=326
hashigo,-34,40=327
coin/coin1,-32,40=328
w1/block2,-22,40=329
w1/block2,-16,40=330
hashigo,-14,40=331
w1/block2,-10,40=332
hashigo,-8,40=333
w1/block2,-4,40=334
hashigo,-2,40=335
w1/block2,2,40=336
w1/block2,16,40=337
w1/block2,56,40=338
hashigo,60,40=339
w1/block2,62,40=340
w1/block2,70,40=341
w1/block2,-36,38=342
hashigo,-34,38=343
w1/block2,-30,38=344
w1/block2,-28,38=345
w1/block2,-26,38=346
w1/block2,-24,38=347
w1/block2,-22,38=348
w1/block2,-18,38=349
w1/block2,-16,38=350
bridge1,-14,38=351
bridge1,-12,38=352
w1/block2,-10,38=353
hashigo,-8,38=354
w1/block2,-4,38=355
hashigo,-2,38=356
coin/coin1,0,38=357
w1/block2,2,38=358
w1/block2,10,38=359
w1/block2,12,38=360
w1/block2,14,38=361
w1/block2,16,38=362
bridge1,18,38=363
bridge1,20,38=364
w1/block2,22,38=365
w1/block2,24,38=366
w1/block2,26,38=367
w1/block2,28,38=368
w1/block2,30,38=369
w1/block2,32,38=370
w1/block2,34,38=371
w1/block2,36,38=372
w1/block2,38,38=373
w1/block2,40,38=374
w1/block2,42,38=375
bridge1,44,38=376
bridge1,46,38=377
w1/block2,48,38=378
w1/block2,50,38=379
w1/block2,56,38=380
hashigo,60,38=381
w1/block2,62,38=382
w1/block2,70,38=383
w1/block2,-36,36=384
hashigo,-34,36=385
w1/block2,-30,36=386
hashigo,-28,36=387
hashigo,-14,36=388
w1/block2,-10,36=389
hashigo,-8,36=390
w1/block2,-4,36=391
hashigo,-2,36=392
w1/block2,2,36=393
coin/coin1,12,36=394
coin/coin1,14,36=395
w1/block2,22,36=396
hashigo,24,36=397
coin/coin1,30,36=398
coin/coin1,32,36=399
coin/coin1,34,36=400
coin/coin1,36,36=401
coin/coin1,38,36=402
w1/block2,50,36=403
w1/block2,56,36=404
hashigo,60,36=405
w1/block2,62,36=406
w1/block2,70,36=407
w1/block2,-36,34=408
hashigo,-34,34=409
w1/block2,-30,34=410
hashigo,-28,34=411
hashigo,-14,34=412
w1/block2,-10,34=413
hashigo,-8,34=414
w1/block2,-4,34=415
hashigo,-2,34=416
coin/coin1,0,34=417
w1/block2,2,34=418
w1/block2,22,34=419
hashigo,24,34=420
w1/block2,50,34=421
w1/block2,56,34=422
hashigo,60,34=423
w1/block2,70,34=424
w1/block2,-36,32=425
hashigo,-34,32=426
coin/coin1,-32,32=427
w1/block2,-30,32=428
hashigo,-28,32=429
w1/block2,-10,32=430
hashigo,-8,32=431
coin/coin1,-6,32=432
w1/block2,-4,32=433
hashigo,-2,32=434
w1/block2,2,32=435
w1/block2,4,32=436
w1/block2,6,32=437
w1/block2,8,32=438
w1/block2,10,32=439
w1/block2,12,32=440
w1/block2,14,32=441
w1/block2,16,32=442
w1/block2,22,32=443
hashigo,24,32=444
w1/block2,28,32=445
bridge1,32,32=446
w1/block2,50,32=447
w1/block2,56,32=448
hashigo,60,32=449
w1/block2,70,32=450
w1/block2,-36,30=451
hashigo,-34,30=452
coin/coin1,-32,30=453
w1/block2,-30,30=454
hashigo,-28,30=455
w1/block2,-22,30=456
coin/coin3,-18,30=457
w1/block2,-16,30=458
w1/block2,-10,30=459
hashigo,-8,30=460
coin/coin1,-6,30=461
w1/block2,-4,30=462
hashigo,-2,30=463
coin/coin1,0,30=464
coin/coin1,4,30=465
coin/coin1,6,30=466
coin/coin1,8,30=467
coin/coin1,10,30=468
coin/coin1,12,30=469
w1/block2,16,30=470
w1/block2,22,30=471
hashigo,24,30=472
w1/block2,28,30=473
w1/block2,38,30=474
w1/block2,40,30=475
w1/block2,42,30=476
w1/block2,44,30=477
w1/block2,46,30=478
w1/block2,48,30=479
w1/block2,50,30=480
w1/block2,56,30=481
w1/block2,58,30=482
w1/block2,60,30=483
w1/block2,62,30=484
w1/block2,64,30=485
w1/block2,66,30=486
w1/block2,68,30=487
w1/block2,70,30=488
w1/block2,-36,28=489
hashigo,-34,28=490
coin/coin1,-32,28=491
w1/block2,-30,28=492
hashigo,-28,28=493
w1/block2,-22,28=494
supergrape,-18,28=495
*custom,supergrape,495,2
w1/block2,-16,28=496
hashigo,-8,28=497
w1/block2,-4,28=498
hashigo,-2,28=499
coin/coin1,12,28=500
w1/block2,16,28=501
w1/block2,22,28=502
hashigo,24,28=503
w1/block2,28,28=504
hashigo,38,28=505
coin/coin1,42,28=506
coin/coin1,44,28=507
coin/coin1,46,28=508
coin/coin1,48,28=509
w1/block2,50,28=510
coin/coin1,58,28=511
coin/coin1,60,28=512
coin/coin1,62,28=513
w1/block2,70,28=514
w1/block2,-36,26=515
hashigo,-34,26=516
w1/block2,-30,26=517
bridge1,-28,26=518
bridge1,-26,26=519
bridge1,-24,26=520
w1/block2,-22,26=521
coin/coin3,-18,26=522
w1/block2,-16,26=523
hashigo,-8,26=524
w1/block2,-4,26=525
hashigo,-2,26=526
coin/coin1,4,26=527
coin/coin1,6,26=528
coin/coin3,8,26=529
coin/coin1,12,26=530
w1/block2,16,26=531
w1/block2,22,26=532
hashigo,24,26=533
w1/block2,28,26=534
hashigo,38,26=535
w1/block2,50,26=536
w1/block2,70,26=537
w1/block2,-36,24=538
hashigo,-34,24=539
w1/block2,-30,24=540
hashigo,-28,24=541
w1/block2,-22,24=542
w1/block2,-20,24=543
w1/block2,-18,24=544
w1/block2,-16,24=545
w1/block2,-14,24=546
w1/block2,-12,24=547
w1/block2,-10,24=548
w1/block2,-8,24=549
w1/block2,-6,24=550
w1/block2,-4,24=551
hashigo,-2,24=552
coin/coin1,4,24=553
coin/coin1,12,24=554
w1/block2,16,24=555
w1/block2,22,24=556
hashigo,24,24=557
w1/block2,28,24=558
w1/block2,34,24=559
hashigo,38,24=560
bridge1,48,24=561
w1/block2,50,24=562
w1/block2,52,24=563
w1/block2,54,24=564
w1/block2,56,24=565
w1/block2,58,24=566
w1/block2,60,24=567
w1/block2,62,24=568
w1/block2,64,24=569
coin/coin1,66,24=570
w1/block2,70,24=571
w1/block2,-36,22=572
hashigo,-34,22=573
w1/block2,-30,22=574
hashigo,-28,22=575
hashigo,-22,22=576
hashigo,-14,22=577
hashigo,-2,22=578
coin/coin1,4,22=579
coin/coin1,6,22=580
coin/coin1,8,22=581
coin/coin1,10,22=582
coin/coin1,12,22=583
w1/block2,16,22=584
w1/block2,22,22=585
hashigo,24,22=586
w1/block2,28,22=587
w1/block2,34,22=588
hashigo,38,22=589
coin/coin2,60,22=590
coin/coin3,62,22=591
w1/block2,64,22=592
coin/coin1,66,22=593
w1/block2,70,22=594
w1/block2,-36,20=595
hashigo,-34,20=596
coin/coin1,-32,20=597
w1/block2,-30,20=598
hashigo,-28,20=599
hashigo,-22,20=600
hashigo,-14,20=601
hashigo,-2,20=602
w1/block2,16,20=603
w1/block2,22,20=604
hashigo,24,20=605
w1/block2,28,20=606
w1/block2,34,20=607
hashigo,38,20=608
w1/block2,64,20=609
coin/coin1,66,20=610
w1/block2,70,20=611
w1/block2,-36,18=612
hashigo,-34,18=613
coin/coin1,-32,18=614
w1/block2,-30,18=615
w1/block2,-28,18=616
w1/block2,-26,18=617
w1/block2,-24,18=618
hashigo,-22,18=619
hashigo,-14,18=620
w1/block2,-12,18=621
w1/block2,-10,18=622
w1/block2,-8,18=623
w1/block2,-6,18=624
w1/block2,-4,18=625
hashigo,-2,18=626
w1/block2,2,18=627
w1/block2,4,18=628
w1/block2,6,18=629
w1/block2,8,18=630
w1/block2,10,18=631
w1/block2,12,18=632
w1/block2,14,18=633
w1/block2,16,18=634
w1/block2,22,18=635
hashigo,24,18=636
w1/block2,28,18=637
w1/block2,34,18=638
hashigo,38,18=639
w1/block2,40,18=640
w1/block2,42,18=641
w1/block2,44,18=642
w1/block2,46,18=643
bridge1,54,18=644
w1/block2,56,18=645
w1/block2,58,18=646
w1/block2,60,18=647
w1/block2,62,18=648
w1/block2,64,18=649
coin/coin1,66,18=650
w1/block2,70,18=651
w1/block2,-36,16=652
hashigo,-34,16=653
coin/coin1,-32,16=654
w1/block2,-24,16=655
hashigo,-22,16=656
hashigo,-14,16=657
w1/block2,-12,16=658
dende,-6,16=659
w1/block2,-4,16=660
hashigo,-2,16=661
w1/block2,2,16=662
hashigo,4,16=663
hashigo,20,16=664
hashigo,24,16=665
w1/block2,28,16=666
w1/block2,34,16=667
hashigo,38,16=668
supergrape,44,16=669
*custom,supergrape,669,1
w1/block2,46,16=670
coin/coin1,58,16=671
coin/coin1,60,16=672
coin/coin1,62,16=673
w1/block2,64,16=674
coin/coin1,66,16=675
w1/block2,70,16=676
w1/block2,-36,14=677
hashigo,-34,14=678
supergrape,-28,14=679
*custom,supergrape,679,3
coin/coin4,-26,14=680
w1/block2,-24,14=681
hashigo,-22,14=682
hashigo,-14,14=683
w1/block2,-12,14=684
w1/block2,-4,14=685
hashigo,-2,14=686
w1/block2,2,14=687
hashigo,4,14=688
hashigo,20,14=689
hashigo,24,14=690
w1/block2,28,14=691
w1/block2,34,14=692
hashigo,38,14=693
coin/coin4,44,14=694
w1/block2,46,14=695
w1/block2,64,14=696
coin/coin1,66,14=697
w1/block2,70,14=698
w1/block2,-36,12=699
hashigo,-34,12=700
w1/block2,-24,12=701
hashigo,-22,12=702
hashigo,-14,12=703
w1/block2,-12,12=704
w1/block2,-4,12=705
hashigo,-2,12=706
w1/block2,2,12=707
hashigo,4,12=708
hashigo,20,12=709
w1/block2,22,12=710
w1/block2,24,12=711
w1/block2,26,12=712
w1/block2,28,12=713
w1/block2,30,12=714
w1/block2,32,12=715
w1/block2,34,12=716
w1/block2,36,12=717
w1/block2,38,12=718
w1/block2,40,12=719
w1/block2,42,12=720
w1/block2,44,12=721
w1/block2,46,12=722
w1/block2,48,12=723
w1/block2,50,12=724
w1/block2,52,12=725
w1/block2,54,12=726
w1/block2,56,12=727
w1/block2,58,12=728
bridge1,60,12=729
w1/block2,64,12=730
coin/coin1,66,12=731
w1/block2,70,12=732
w1/block2,-36,10=733
hashigo,-34,10=734
w1/block2,-30,10=735
w1/block2,-28,10=736
w1/block2,-26,10=737
w1/block2,-24,10=738
hashigo,-22,10=739
hashigo,-14,10=740
w1/block2,-12,10=741
w1/block2,-4,10=742
hashigo,-2,10=743
w1/block2,2,10=744
hashigo,4,10=745
w1/block2,16,10=746
hashigo,20,10=747
w1/block2,22,10=748
coin/coin1,26,10=749
coin/coin1,30,10=750
coin/coin1,34,10=751
coin/coin1,38,10=752
coin/coin1,42,10=753
coin/coin1,46,10=754
coin/coin1,50,10=755
coin/coin1,54,10=756
coin/coin1,58,10=757
w1/block2,64,10=758
coin/coin1,66,10=759
w1/block2,70,10=760
w1/block2,-36,8=761
hashigo,-34,8=762
coin/coin1,-32,8=763
w1/block2,-30,8=764
hashigo,-28,8=765
hashigo,-22,8=766
hashigo,-14,8=767
w1/block2,-4,8=768
hashigo,-2,8=769
w1/block2,2,8=770
hashigo,4,8=771
w1/block2,16,8=772
hashigo,20,8=773
w1/block2,22,8=774
coin/coin1,28,8=775
coin/coin1,32,8=776
coin/coin1,36,8=777
coin/coin1,40,8=778
coin/coin1,44,8=779
coin/coin1,48,8=780
coin/coin1,52,8=781
coin/coin1,56,8=782
w1/block2,64,8=783
coin/coin1,66,8=784
w1/block2,70,8=785
w1/block2,-36,6=786
hashigo,-34,6=787
coin/coin1,-32,6=788
w1/block2,-30,6=789
hashigo,-28,6=790
hashigo,-22,6=791
hashigo,-14,6=792
w1/block2,-4,6=793
hashigo,-2,6=794
w1/block2,2,6=795
hashigo,4,6=796
w1/block2,16,6=797
bridge1,18,6=798
bridge1,20,6=799
w1/block2,22,6=800
w1/block2,28,6=801
w1/block2,30,6=802
w1/block2,32,6=803
w1/block2,34,6=804
w1/block2,36,6=805
w1/block2,38,6=806
w1/block2,40,6=807
w1/block2,42,6=808
w1/block2,44,6=809
w1/block2,46,6=810
bridge1,48,6=811
bridge1,50,6=812
bridge1,52,6=813
bridge1,54,6=814
bridge1,56,6=815
w1/block2,58,6=816
w1/block2,60,6=817
w1/block2,62,6=818
w1/block2,64,6=819
coin/coin1,66,6=820
w1/block2,70,6=821
w1/block2,-36,4=822
hashigo,-34,4=823
coin/coin1,-32,4=824
w1/block2,-30,4=825
hashigo,-28,4=826
w1/block2,-4,4=827
hashigo,-2,4=828
hashigo,4,4=829
w1/block2,16,4=830
hashigo,20,4=831
w1/block2,22,4=832
coin/coin1,30,4=833
coin/coin1,32,4=834
coin/coin1,34,4=835
coin/coin1,36,4=836
coin/coin1,38,4=837
coin/coin1,40,4=838
coin/coin1,42,4=839
w1/block2,46,4=840
coin/coin1,48,4=841
w1/block2,58,4=842
toge,60,4=843
toge,62,4=844
w1/block2,64,4=845
coin/coin1,66,4=846
w1/block2,70,4=847
w1/block2,-36,2=848
hashigo,-34,2=849
w1/block2,-30,2=850
hashigo,-28,2=851
w1/block2,-4,2=852
hashigo,-2,2=853
hashigo,4,2=854
w1/block2,16,2=855
hashigo,20,2=856
w1/block2,22,2=857
bridge1,44,2=858
w1/block2,46,2=859
bridge1,48,2=860
bridge1,50,2=861
w1/block2,52,2=862
bridge1,54,2=863
bridge1,56,2=864
w1/block2,58,2=865
w1/block2,64,2=866
coin/coin1,66,2=867
w1/block2,70,2=868
w1/block2,-36,0=869
hashigo,-34,0=870
w1/block2,-30,0=871
bridge1,-28,0=872
bridge1,-26,0=873
w1/block2,-24,0=874
w1/block2,-22,0=875
w1/block2,-20,0=876
w1/block2,-18,0=877
w1/block2,-16,0=878
w1/block2,-14,0=879
w1/block2,-12,0=880
w1/block2,-10,0=881
w1/block2,-8,0=882
w1/block2,-6,0=883
w1/block2,-4,0=884
w1/block2,-2,0=885
w1/block2,0,0=886
w1/block2,2,0=887
w1/block2,4,0=888
w1/block2,6,0=889
w1/block2,8,0=890
w1/block2,10,0=891
w1/block2,12,0=892
w1/block2,14,0=893
w1/block2,16,0=894
w1/block2,18,0=895
bridge1,20,0=896
w1/block2,22,0=897
w1/block2,24,0=898
w1/block2,26,0=899
w1/block2,28,0=900
w1/block2,30,0=901
w1/block2,32,0=902
w1/block2,34,0=903
w1/block2,36,0=904
w1/block2,38,0=905
w1/block2,40,0=906
w1/block2,46,0=907
coin/coin1,48,0=908
hashigo,50,0=909
w1/block2,52,0=910
coin/coin1,54,0=911
hashigo,56,0=912
w1/block2,58,0=913
w1/block2,64,0=914
coin/coin1,66,0=915
w1/block2,70,0=916
w1/block2,-36,-2=917
hashigo,-34,-2=918
w1/block2,-30,-2=919
hashigo,-28,-2=920
dende,-18,-2=921
w1/block2,-14,-2=922
w1/block2,0,-2=923
coin/coin1,6,-2=924
coin/coin1,8,-2=925
w1/block2,18,-2=926
hashigo,20,-2=927
dende,24,-2=928
w1/block2,28,-2=929
w1/block2,30,-2=930
w1/block2,46,-2=931
hashigo,50,-2=932
w1/block2,52,-2=933
hashigo,56,-2=934
w1/block2,58,-2=935
w1/block2,64,-2=936
coin/coin1,66,-2=937
w1/block2,70,-2=938
w1/block2,-36,-4=939
hashigo,-34,-4=940
coin/coin1,-32,-4=941
w1/block2,-30,-4=942
hashigo,-28,-4=943
w1/block2,-14,-4=944
w1/block2,0,-4=945
w1/block2,18,-4=946
hashigo,20,-4=947
w1/block2,28,-4=948
w1/block2,46,-4=949
coin/coin1,48,-4=950
hashigo,50,-4=951
w1/block2,52,-4=952
coin/coin1,54,-4=953
hashigo,56,-4=954
w1/block2,58,-4=955
coin/coin1,60,-4=956
w1/block2,64,-4=957
coin/coin1,66,-4=958
w1/block2,70,-4=959
w1/block2,-36,-6=960
hashigo,-34,-6=961
coin/coin1,-32,-6=962
w1/block2,-30,-6=963
hashigo,-28,-6=964
w1/say,-16,-6=965
*custom,sayblock,965,あと少しだったのに・・
w1/block2,-14,-6=966
w1/block2,0,-6=967
w1/say,10,-6=968
*custom,sayblock,968,このステージは、迷路になっています。ワープとかはないので、安心してください。:br:ちなみに、点線の橋は、下からは通れるけど、上からは通れないので、よろしくです。
w1/block2,12,-6=969
bridge1,14,-6=970
bridge1,16,-6=971
w1/block2,18,-6=972
bridge1,20,-6=973
bridge1,22,-6=974
bridge1,24,-6=975
bridge1,26,-6=976
w1/block2,28,-6=977
w1/block2,46,-6=978
hashigo,50,-6=979
w1/block2,52,-6=980
hashigo,56,-6=981
w1/block2,58,-6=982
w1/block2,64,-6=983
coin/coin1,66,-6=984
w1/block2,70,-6=985
w1/block2,-36,-8=986
hashigo,-34,-8=987
coin/coin1,-32,-8=988
w1/block2,-30,-8=989
w1/block2,-28,-8=990
w1/block2,-26,-8=991
w1/block2,-24,-8=992
w1/block2,-22,-8=993
w1/block2,-20,-8=994
w1/block2,-18,-8=995
w1/block2,-16,-8=996
w1/block2,-14,-8=997
w1/block2,0,-8=998
w1/block2,12,-8=999
coin/coin1,18,-8=1000
coin/coin1,28,-8=1001
w1/block2,46,-8=1002
coin/coin1,48,-8=1003
hashigo,50,-8=1004
w1/block2,52,-8=1005
coin/coin1,54,-8=1006
hashigo,56,-8=1007
w1/block2,58,-8=1008
w1/block2,64,-8=1009
coin/coin1,66,-8=1010
w1/block2,70,-8=1011
w1/block2,-36,-10=1012
hashigo,-34,-10=1013
w1/block2,-30,-10=1014
coin/coin1,-16,-10=1015
w1/block2,0,-10=1016
w1/block2,12,-10=1017
w1/block2,46,-10=1018
hashigo,50,-10=1019
w1/block2,52,-10=1020
hashigo,56,-10=1021
w1/block2,58,-10=1022
coin/coin1,60,-10=1023
w1/block2,64,-10=1024
coin/coin1,66,-10=1025
w1/block2,70,-10=1026
w1/block2,-36,-12=1027
hashigo,-34,-12=1028
w1/block2,-30,-12=1029
coin/coin1,-22,-12=1030
coin/coin1,-20,-12=1031
coin/coin1,-18,-12=1032
coin/coin1,-16,-12=1033
coin/coin1,-14,-12=1034
w1/block2,0,-12=1035
w1/block2,12,-12=1036
w1/block2,46,-12=1037
coin/coin1,48,-12=1038
hashigo,50,-12=1039
w1/block2,52,-12=1040
coin/coin1,54,-12=1041
hashigo,56,-12=1042
w1/block2,58,-12=1043
w1/block2,64,-12=1044
coin/coin1,66,-12=1045
w1/block2,70,-12=1046
w1/block2,-36,-14=1047
hashigo,-34,-14=1048
w1/block2,-30,-14=1049
coin/coin1,-26,-14=1050
coin/coin1,-16,-14=1051
w1/block2,0,-14=1052
w1/block2,12,-14=1053
w1/block2,46,-14=1054
hashigo,50,-14=1055
w1/block2,52,-14=1056
hashigo,56,-14=1057
w1/block2,58,-14=1058
coin/coin1,60,-14=1059
w1/block2,64,-14=1060
coin/coin1,66,-14=1061
w1/block2,70,-14=1062
w1/block2,-36,-16=1063
hashigo,-34,-16=1064
coin/coin1,-32,-16=1065
w1/block2,-30,-16=1066
coin/coin1,-28,-16=1067
coin/coin1,-26,-16=1068
coin/coin1,-24,-16=1069
w1/block2,0,-16=1070
w1/block2,12,-16=1071
w1/block2,46,-16=1072
coin/coin1,48,-16=1073
hashigo,50,-16=1074
w1/block2,52,-16=1075
coin/coin1,54,-16=1076
hashigo,56,-16=1077
coin/coin1,58,-16=1078
w1/block2,64,-16=1079
coin/coin1,66,-16=1080
w1/block2,70,-16=1081
w1/block2,-36,-18=1082
hashigo,-34,-18=1083
coin/coin1,-32,-18=1084
w1/block2,-30,-18=1085
coin/coin1,-26,-18=1086
w1/block2,0,-18=1087
w1/block2,12,-18=1088
w1/block2,46,-18=1089
hashigo,50,-18=1090
w1/block2,52,-18=1091
hashigo,56,-18=1092
w1/block2,64,-18=1093
coin/coin1,66,-18=1094
w1/block2,70,-18=1095
