//:csv
//:header
:sc,main,1
coin/coin1,18,-2=134
coin/coin1,20,-2=135
w1/block2,24,-2=136
w1/block2,26,-2=137
w1/block2,28,-2=138
w1/block2,30,-2=139
w1/block2,32,-2=140
w1/block2,34,-2=141
w1/block2,36,-2=142
w1/block2,38,-2=143
w1/block2,40,-2=144
w1/block2,42,-2=145
w1/block2,44,-2=146
w1/block2,46,-2=147
w1/block2,48,-2=148
w1/block2,50,-2=149
w1/block2,52,-2=150
w1/block2,54,-2=151
w1/say,76,-2=152
*custom,sayblock,152,↑と→を同時に押したまま行くと楽らしいよ。
coin/coin1,88,-2=153
coin/coin1,90,-2=154
coin/coin1,92,-2=155
coin/coin1,94,-2=156
coin/coin1,96,-2=157
coin/coin1,98,-2=158
coin/coin1,100,-2=159
coin/coin1,102,-2=160
coin/coin1,104,-2=161
coin/coin1,106,-2=162
coin/coin1,108,-2=163
coin/coin1,110,-2=164
coin/coin1,112,-2=165
coin/coin1,114,-2=166
coin/coin1,116,-2=167
coin/coin1,118,-2=168
coin/coin1,120,-2=169
coin/coin1,122,-2=170
coin/coin1,124,-2=171
coin/coin1,126,-2=172
bridge1,-148,-4=173
bridge1,-142,-4=174
bridge1,-136,-4=175
bridge1,-130,-4=176
bridge1,-124,-4=177
w1/block2,-106,-4=178
w1/block2,-68,-4=179
w1/block2,-48,-4=180
coin/coin1,20,-4=181
coin/coin1,22,-4=182
coin/coin1,24,-4=183
hashigo,26,-4=184
suikas/high,28,-4=185
w1/block2,32,-4=186
toge,34,-4=187
w1/block2,36,-4=188
toge,38,-4=189
suikas/high,42,-4=190
santens2,50,-4=191
supergrape,-168,-6=192
*custom,supergrape,192,1
coin/coin4,-164,-6=193
SkeletonBlock,-118,-6=194
w1/block2,-106,-6=195
w1/say,-78,-6=196
*custom,sayblock,196,この先、デンデ村。
w1/block2,-64,-6=197
w1/block2,-50,-6=198
w1/say,-40,-6=199
*custom,sayblock,199,君はどこまで行くのかね。:br:その冒険心は認めてやろうじゃないか
hashigo,26,-6=200
coin/coin1,28,-6=201
w1/block2,32,-6=202
toge,36,-6=203
supergrape,38,-6=204
*custom,supergrape,204,2
santens2,50,-6=205
supergrape,58,-6=206
*custom,supergrape,206,3
coin/coin1,96,-6=207
coin/coin1,104,-6=208
coin/coin1,106,-6=209
coin/coin1,108,-6=210
coin/coin1,110,-6=211
coin/coin1,114,-6=212
coin/coin1,116,-6=213
coin/coin1,118,-6=214
coin/coin1,120,-6=215
coin/coin1,124,-6=216
coin/coin1,130,-6=217
coin/coin1,134,-6=218
coin/coin1,136,-6=219
coin/coin1,138,-6=220
coin/coin1,140,-6=221
coin/coin3,-148,-8=222
coin/coin3,-142,-8=223
coin/coin3,-136,-8=224
coin/coin3,-130,-8=225
coin/coin3,-124,-8=226
w1/block2,-106,-8=227
w1/block2,-104,-8=228
w1/block2,-102,-8=229
w1/block2,-100,-8=230
w1/block2,-98,-8=231
w1/block2,-96,-8=232
w1/block2,-94,-8=233
w1/block2,-92,-8=234
w1/block2,-90,-8=235
w1/block2,-88,-8=236
w1/block2,-86,-8=237
w1/block2,-84,-8=238
w1/block2,-82,-8=239
w1/block2,-80,-8=240
w1/block2,-60,-8=241
w1/block2,-52,-8=242
coin/coin1,24,-8=243
hashigo,26,-8=244
w1/say,30,-8=245
*custom,sayblock,245,はしごを上りたい？:br:はしごに触れているときに↑を押すと上れるよ。
w1/block2,32,-8=246
hashigo,54,-8=247
hashigo,60,-8=248
hashigo,66,-8=249
coin/coin1,96,-8=250
coin/coin1,98,-8=251
coin/coin1,104,-8=252
coin/coin1,110,-8=253
coin/coin1,114,-8=254
coin/coin1,120,-8=255
coin/coin1,124,-8=256
coin/coin1,126,-8=257
coin/coin1,128,-8=258
coin/coin1,130,-8=259
coin/coin1,134,-8=260
totopleft,-106,-10=261
w1/block2,-56,-10=262
w1/block2,-54,-10=263
hashigo,26,-10=264
coin/coin1,28,-10=265
w1/block2,32,-10=266
hashigo,38,-10=267
w1/say,48,-10=268
*custom,sayblock,268,右下の敵は、さんてんといい、触れてもダメージを受けません
hashigo,54,-10=269
hashigo,60,-10=270
hashigo,66,-10=271
coin/coin1,88,-10=272
coin/coin1,90,-10=273
coin/coin1,92,-10=274
coin/coin1,94,-10=275
coin/coin1,96,-10=276
coin/coin1,98,-10=277
coin/coin1,100,-10=278
coin/coin1,104,-10=279
coin/coin1,108,-10=280
coin/coin1,110,-10=281
coin/coin1,114,-10=282
coin/coin1,120,-10=283
coin/coin1,124,-10=284
coin/coin1,130,-10=285
coin/coin1,134,-10=286
coin/coin1,24,-12=287
hashigo,26,-12=288
w1/block2,32,-12=289
coin/coin1,38,-12=290
hashigo,54,-12=291
coin/coin1,56,-12=292
coin/coin1,58,-12=293
hashigo,60,-12=294
coin/coin1,62,-12=295
coin/coin1,64,-12=296
hashigo,66,-12=297
coin/coin1,88,-12=298
coin/coin1,90,-12=299
coin/coin1,92,-12=300
coin/coin1,94,-12=301
coin/coin1,96,-12=302
coin/coin1,98,-12=303
coin/coin1,100,-12=304
coin/coin1,104,-12=305
coin/coin1,114,-12=306
coin/coin1,120,-12=307
coin/coin1,124,-12=308
coin/coin1,130,-12=309
coin/coin1,134,-12=310
hashigo,26,-14=311
coin/coin1,28,-14=312
w1/block2,32,-14=313
hashigo,54,-14=314
coin/coin1,56,-14=315
coin/coin1,58,-14=316
hashigo,60,-14=317
coin/coin1,62,-14=318
coin/coin1,64,-14=319
hashigo,66,-14=320
coin/coin1,96,-14=321
coin/coin1,98,-14=322
coin/coin1,104,-14=323
coin/coin1,106,-14=324
coin/coin1,108,-14=325
coin/coin1,110,-14=326
coin/coin1,114,-14=327
coin/coin1,116,-14=328
coin/coin1,118,-14=329
coin/coin1,120,-14=330
coin/coin1,124,-14=331
coin/coin1,126,-14=332
coin/coin1,128,-14=333
coin/coin1,130,-14=334
coin/coin1,134,-14=335
coin/coin1,24,-16=336
hashigo,26,-16=337
w1/block2,32,-16=338
hashigo,54,-16=339
hashigo,60,-16=340
hashigo,66,-16=341
coin/coin1,96,-16=342
hashigo,26,-18=343
coin/coin1,28,-18=344
toge,32,-18=345
hashigo,54,-18=346
hashigo,60,-18=347
hashigo,66,-18=348
coin/coin1,24,-20=349
hashigo,26,-20=350
coin/coin1,54,-20=351
coin/coin1,60,-20=352
coin/coin1,66,-20=353
hashigo,26,-22=354
coin/coin1,28,-22=355
coin/coin1,24,-24=356
hashigo,26,-24=357
hashigo,26,-26=358
coin/coin1,28,-26=359
coin/coin1,24,-28=360
hashigo,26,-28=361
hashigo,26,-30=362
coin/coin1,28,-30=363
tyuukan,44,-5=364
@goalobj,132,-1=365
toride,138,0=366
//:footer
w1-tree,-8,3
w1-tree-type2,-1,3
w1-tree2,2,1
w1-tree-type2,9,1
w1-tree-type2,17,3
w1-tree2,20,1
w1-tree2-type2,28,7
w1-tree,26,5
w1-tree,30,5
w1-tree-type2,47,7
w1-tree2,44,5
w1-tree-type2,87,1
w1-tree2,84,-1
w1-tree-type2,79,1
//:/footer
